_id,Year,Month,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Extract_Date,Data_Revision_Date,report_month,data_extract_date,data_revision_date,is_suppressed,suppression_type,count_numeric,is_total_population,is_all_cause,report_month_label
748,2024,5,Occurrence,Place Type,Other/Unknown,ALL,All causes (total),ICD-10,3654.0,,,02/17/2026,02/17/2026,2024-05-01,2026-02-17,2026-02-17,False,,3654.0,False,True,2024-05
925,2024,6,Occurrence,Place Type,Inpatient,ALL,All causes (total),ICD-10,7166.0,,,02/17/2026,02/17/2026,2024-06-01,2026-02-17,2026-02-17,False,,7166.0,False,True,2024-06
926,2024,6,Occurrence,Place Type,Emergency Room/Outpatient,ALL,All causes (total),ICD-10,1255.0,,,02/17/2026,02/17/2026,2024-06-01,2026-02-17,2026-02-17,False,,1255.0,False,True,2024-06
927,2024,6,Occurrence,Place Type,Decedent's Home,ALL,All causes (total),ICD-10,8899.0,,,02/17/2026,02/17/2026,2024-06-01,2026-02-17,2026-02-17,False,,8899.0,False,True,2024-06
928,2024,6,Occurrence,Place Type,Hospice Facility,ALL,All causes (total),ICD-10,232.0,,,02/17/2026,02/17/2026,2024-06-01,2026-02-17,2026-02-17,False,,232.0,False,True,2024-06
929,2024,6,Occurrence,Place Type,Nursing Home/Long Term Care Facility,ALL,All causes (total),ICD-10,2184.0,,,02/17/2026,02/17/2026,2024-06-01,2026-02-17,2026-02-17,False,,2184.0,False,True,2024-06
930,2024,6,Occurrence,Place Type,Other/Unknown,ALL,All causes (total),ICD-10,3549.0,,,02/17/2026,02/17/2026,2024-06-01,2026-02-17,2026-02-17,False,,3549.0,False,True,2024-06
1107,2024,7,Occurrence,Place Type,Inpatient,ALL,All causes (total),ICD-10,7124.0,,,02/17/2026,02/17/2026,2024-07-01,2026-02-17,2026-02-17,False,,7124.0,False,True,2024-07
1108,2024,7,Occurrence,Place Type,Emergency Room/Outpatient,ALL,All causes (total),ICD-10,1391.0,,,02/17/2026,02/17/2026,2024-07-01,2026-02-17,2026-02-17,False,,1391.0,False,True,2024-07
1109,2024,7,Occurrence,Place Type,Decedent's Home,ALL,All causes (total),ICD-10,9343.0,,,02/17/2026,02/17/2026,2024-07-01,2026-02-17,2026-02-17,False,,9343.0,False,True,2024-07
1110,2024,7,Occurrence,Place Type,Hospice Facility,ALL,All causes (total),ICD-10,243.0,,,02/17/2026,02/17/2026,2024-07-01,2026-02-17,2026-02-17,False,,243.0,False,True,2024-07
1111,2024,7,Occurrence,Place Type,Nursing Home/Long Term Care Facility,ALL,All causes (total),ICD-10,2385.0,,,02/17/2026,02/17/2026,2024-07-01,2026-02-17,2026-02-17,False,,2385.0,False,True,2024-07
