_id,Year,Month,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Extract_Date,Data_Revision_Date,report_month,data_extract_date,data_revision_date,is_suppressed,suppression_type,count_numeric,is_total_population,is_all_cause,report_month_label
404,2024,3,Occurrence,Total Population,Total Population,CAN,Malignant neoplasms,ICD-10,5122.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,5122.0,True,False,2024-03
415,2024,3,Occurrence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,1011.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,1011.0,True,False,2024-03
426,2024,3,Occurrence,Total Population,Total Population,DIA,Diabetes mellitus,ICD-10,977.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,977.0,True,False,2024-03
437,2024,3,Occurrence,Total Population,Total Population,HOM,Assault (homicide),ICD-10,144.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,144.0,True,False,2024-03
448,2024,3,Occurrence,Total Population,Total Population,HTD,Diseases of heart,ICD-10,5475.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,5475.0,True,False,2024-03
459,2024,3,Occurrence,Total Population,Total Population,HYP,Essential hypertension and hypertensive renal disease,ICD-10,563.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,563.0,True,False,2024-03
470,2024,3,Occurrence,Total Population,Total Population,INJ,Accidents (unintentional injuries),ICD-10,1662.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,1662.0,True,False,2024-03
481,2024,3,Occurrence,Total Population,Total Population,LIV,Chronic liver disease and cirrhosis,ICD-10,529.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,529.0,True,False,2024-03
492,2024,3,Occurrence,Total Population,Total Population,NEP,"Nephritis, nephrotic syndrome and nephrosis",ICD-10,445.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,445.0,True,False,2024-03
503,2024,3,Occurrence,Total Population,Total Population,PAR,Parkinson's disease,ICD-10,331.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,331.0,True,False,2024-03
514,2024,3,Occurrence,Total Population,Total Population,PNF,Influenza and pneumonia,ICD-10,475.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,475.0,True,False,2024-03
525,2024,3,Occurrence,Total Population,Total Population,STK,Cerebrovascular diseases,ICD-10,1480.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,1480.0,True,False,2024-03
536,2024,3,Occurrence,Total Population,Total Population,SUI,Intentional self-harm (suicide),ICD-10,359.0,,,02/17/2026,02/17/2026,2024-03-01,2026-02-17,2026-02-17,False,,359.0,True,False,2024-03
575,2024,4,Occurrence,Total Population,Total Population,ALZ,Alzheimer's disease,ICD-10,1347.0,,,02/17/2026,02/17/2026,2024-04-01,2026-02-17,2026-02-17,False,,1347.0,True,False,2024-04
586,2024,4,Occurrence,Total Population,Total Population,CAN,Malignant neoplasms,ICD-10,4998.0,,,02/17/2026,02/17/2026,2024-04-01,2026-02-17,2026-02-17,False,,4998.0,True,False,2024-04
597,2024,4,Occurrence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,991.0,,,02/17/2026,02/17/2026,2024-04-01,2026-02-17,2026-02-17,False,,991.0,True,False,2024-04
608,2024,4,Occurrence,Total Population,Total Population,DIA,Diabetes mellitus,ICD-10,856.0,,,02/17/2026,02/17/2026,2024-04-01,2026-02-17,2026-02-17,False,,856.0,True,False,2024-04
